,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,59.72000000000006,64,83,1.0,AU,1648412263
1,Codrington,-38.2667,141.9667,60.98000000000004,87,95,1.64,AU,1648412263
2,Ponta do Sol,32.6667,-17.1,62.06000000000008,80,17,2.63,PT,1648412264
3,Avarua,-21.2078,-159.775,84.25400000000005,79,59,3.6,CK,1648412126
4,Pevek,69.7008,170.3133,-17.35599999999998,100,62,3.04,RU,1648412264
5,Upernavik,72.7868,-56.1549,25.37600000000009,74,99,1.25,GL,1648412264
6,Dakar,14.6937,-17.4441,72.48200000000001,86,42,6.3,SN,1648412063
7,Nikolskoye,59.7035,30.7861,26.798000000000023,79,100,2.79,RU,1648412008
8,Souillac,-20.5167,57.5167,79.17800000000007,83,40,0.51,MU,1648412265
9,Agirish,61.9247,63.0231,24.35,91,100,6.38,RU,1648412265
10,Laguna,38.421,-121.4238,73.77800000000006,50,0,4.12,US,1648412265
11,Ilulissat,69.2167,-51.1,28.418000000000085,46,0,0.0,GL,1648412266
12,High Rock,26.6208,-78.2833,75.21800000000009,46,0,9.13,BS,1648412266
13,Boende,-0.2167,20.8667,70.77200000000003,92,100,0.91,CD,1648412162
14,Busselton,-33.65,115.3333,58.26200000000006,69,0,6.35,AU,1648412267
15,Langxiang,46.95,128.8833,19.058000000000003,98,72,1.49,CN,1648412267
16,Masuguru,-11.3667,38.4167,74.15600000000003,95,14,0.77,TZ,1648412267
17,Shatin,39.8357,45.3019,27.89600000000005,77,41,0.38,AM,1648412268
18,Poum,-20.2333,164.0167,80.06000000000009,76,31,6.4,NC,1648412268
19,Atuona,-9.8,-139.0333,79.28600000000007,77,31,6.98,PF,1648412268
20,Cape Town,-33.9258,18.4232,67.26200000000006,62,56,1.98,ZA,1648412038
21,Puerto Ayora,-0.7393,-90.3518,84.16400000000003,75,92,5.71,EC,1648412269
22,Nantucket,41.2835,-70.0995,48.30800000000001,63,0,10.8,US,1648412245
23,Rikitea,-23.1203,-134.9692,79.10600000000002,70,5,5.41,PF,1648412269
24,Thompson,55.7435,-97.8558,13.333999999999993,65,21,1.34,CA,1648412091
25,Punta Arenas,-53.15,-70.9167,51.908,54,0,11.83,CL,1648412142
26,Mar del Plata,-38.0023,-57.5575,69.81800000000008,57,0,7.6,AR,1648412171
27,Waingapu,-9.6567,120.2641,77.63000000000004,83,43,1.93,ID,1648412270
28,Hambantota,6.1241,81.1185,79.26800000000009,83,23,2.55,LK,1648412271
29,Dunedin,-45.8742,170.5036,55.22000000000006,89,0,2.7,NZ,1648412271
30,Pisco,-13.7,-76.2167,77.05400000000006,65,0,8.23,PE,1648412077
31,East London,-33.0153,27.9116,72.28399999999999,81,94,9.04,ZA,1648412007
32,Leningradskiy,69.3833,178.4167,-11.30799999999995,91,14,1.97,RU,1648412272
33,Ribeira Grande,38.5167,-28.7,61.19600000000005,72,20,4.12,PT,1648412273
34,Kushima,31.4583,131.2333,55.09400000000007,62,100,4.25,JP,1648412273
35,Bilma,18.6853,12.9164,75.83000000000004,8,0,2.88,NE,1648412000
36,Coria,39.9879,-6.5377,57.452000000000076,56,98,6.83,ES,1648412274
37,Mataura,-46.1927,168.8643,49.94600000000005,96,8,0.97,NZ,1648412274
38,Viedma,-40.8135,-62.9967,71.87000000000006,25,0,4.12,AR,1648412274
39,Albany,42.6001,-73.9662,38.030000000000044,65,100,0.89,US,1648411821
40,Barrow,71.2906,-156.7887,-0.38199999999996237,71,20,9.26,US,1648412275
41,Gamba,-2.65,10.0,79.21400000000003,92,43,1.4,GA,1648412275
42,Novikovo,51.1537,37.8879,26.960000000000083,65,95,7.08,RU,1648412275
43,Hithadhoo,-0.6,73.0833,82.14800000000002,65,2,2.53,MV,1648412276
44,Chabahar,25.2919,60.643,78.47600000000008,69,0,4.32,IR,1648412276
45,Castro,-24.7911,-50.0119,76.06400000000004,67,8,1.44,BR,1648412211
46,Ukiah,39.1502,-123.2078,62.438000000000045,69,20,7.72,US,1648412276
47,Vao,-22.6667,167.4833,76.60400000000006,69,36,7.92,NC,1648412277
48,Saskylakh,71.9167,114.0833,-5.781999999999968,99,100,1.76,RU,1648412277
49,Hermanus,-34.4187,19.2345,69.8,67,96,2.42,ZA,1648412277
50,Lompoc,34.6391,-120.4579,69.62000000000006,67,100,7.72,US,1648412032
51,Sagua la Grande,22.8067,-80.0756,79.79000000000002,42,0,6.78,CU,1648412278
52,Plettenberg Bay,-34.0527,23.3716,67.442,65,100,1.66,ZA,1648412196
53,Kruisfontein,-34.0033,24.7314,66.88399999999999,87,100,2.97,ZA,1648412278
54,Jamestown,42.097,-79.2353,22.51400000000003,60,100,10.29,US,1648412279
55,College,64.8569,-147.8028,34.46600000000001,73,20,1.54,US,1648412279
56,Torbay,47.6666,-52.7314,43.28600000000007,92,100,7.72,CA,1648412148
57,Gariadhar,21.5333,71.5833,84.72200000000004,36,0,3.83,IN,1648412280
58,Djebeniana,35.035,10.9081,64.20200000000008,76,27,6.27,TN,1648412281
59,Asău,46.4333,26.4,36.518000000000086,52,18,0.49,RO,1648412281
60,Tripoli,32.8752,13.1875,64.65200000000007,65,100,4.85,LY,1648412281
61,Pacific Grove,36.6177,-121.9166,63.06800000000008,73,40,9.83,US,1648412282
62,Peniche,39.3558,-9.3811,66.29000000000002,70,100,5.06,PT,1648412282
63,Hobart,-42.8794,147.3294,60.26000000000008,78,0,2.06,AU,1648412115
64,Kavieng,-2.5744,150.7967,81.62600000000009,76,83,3.52,PG,1648412283
65,Saint-Philippe,-21.3585,55.7679,77.21600000000001,86,99,4.85,RE,1648412111
66,Cabo San Lucas,22.8909,-109.9124,86.30600000000003,20,40,5.14,MX,1648412283
67,Consuegra,39.4625,-3.608,50.233999999999995,70,100,7.6,ES,1648412284
68,Kununurra,-15.7667,128.7333,75.18200000000002,94,99,0.0,AU,1648412284
69,Coahuayana Viejo,18.7333,-103.6833,91.184,26,19,3.35,MX,1648412284
70,Dikson,73.5069,80.5464,-16.61799999999998,99,15,1.4,RU,1648412285
71,Longyearbyen,78.2186,15.6401,8.438000000000045,66,20,5.66,SJ,1648412285
72,Soyo,-6.1349,12.3689,80.87000000000006,90,100,4.9,AO,1648412286
73,Limbang,4.75,115.0,75.308,95,100,0.74,MY,1648412286
74,Mount Isa,-20.7333,139.5,73.16600000000001,28,0,3.09,AU,1648412101
75,Santa María Rayón,19.1444,-99.5836,72.5,15,27,1.36,MX,1648412286
76,Oranjestad,12.524,-70.027,85.94600000000005,62,20,10.8,AW,1648412287
77,Yellowknife,62.456,-114.3525,13.406000000000027,63,20,2.57,CA,1648412287
78,Sorong,-0.8833,131.25,79.98800000000004,81,100,0.69,ID,1648412288
79,Guerrero Negro,27.9769,-114.0611,71.942,46,100,4.8,MX,1648412288
80,Saldanha,-33.0117,17.9442,63.662000000000056,75,6,1.09,ZA,1648412289
81,Sørland,67.667,12.6934,37.25600000000003,76,100,11.48,NO,1648412255
82,São Filipe,14.8961,-24.4956,70.53800000000004,73,100,5.07,CV,1648412289
83,Lebu,-37.6167,-73.65,60.044000000000075,68,0,5.24,CL,1648412168
84,Suslovo,56.2167,88.1167,6.962000000000057,90,6,2.74,RU,1648412290
85,Port Hardy,50.6996,-127.4199,48.38000000000004,93,100,2.57,CA,1648412290
86,San Quintín,30.4833,-115.95,65.42600000000009,63,49,4.02,MX,1648412290
87,Provideniya,64.3833,-173.3,17.222000000000037,74,99,1.55,RU,1648412291
88,Salamiyah,35.0113,37.0532,43.556000000000026,74,0,2.05,SY,1648412291
89,De Haan,51.272,3.0429,49.98200000000001,84,0,4.63,BE,1648412292
90,Ballina,-28.8667,153.5667,68.18000000000004,99,99,2.38,AU,1648412292
91,Khorramshahr,30.4397,48.1664,60.76400000000003,48,0,2.06,IR,1648412292
92,Ushuaia,-54.8,-68.3,51.458000000000006,50,20,5.66,AR,1648412010
93,Tiksi,71.6872,128.8694,-14.313999999999979,100,99,2.6,RU,1648412293
94,Houma,29.5958,-90.7195,80.99600000000005,60,0,4.92,US,1648412293
95,Tabou,4.423,-7.3528,81.28399999999999,83,98,3.68,CI,1648412294
96,Butaritari,3.0707,172.7902,80.52800000000006,67,100,4.01,KI,1648412294
97,Magistral'nyy,56.1725,107.4458,10.18399999999999,93,100,1.93,RU,1648412294
98,Khandyga,62.6667,135.6,-18.507999999999953,99,87,1.36,RU,1648412295
99,Strezhevoy,60.7333,77.5889,3.5060000000000286,99,71,2.44,RU,1648412236
100,Tuktoyaktuk,69.4541,-133.0374,-11.199999999999946,64,0,3.6,CA,1648412295
101,Tarko-Sale,64.9225,77.785,2.714000000000034,98,62,4.18,RU,1648412296
102,Sandakan,5.8402,118.1179,74.87600000000009,94,20,3.09,MY,1648412296
103,George Town,5.4112,100.3354,80.52800000000006,86,20,2.57,MY,1648412297
104,Cascavel,-24.9558,-53.4553,76.56800000000008,58,0,1.07,BR,1648412103
105,Khatanga,71.9667,102.5,-21.657999999999944,100,98,0.62,RU,1648412297
106,Tura,25.5198,90.2201,71.13200000000002,51,1,1.81,IN,1648412298
107,Bilāra,26.1792,73.7056,79.73600000000008,14,0,3.99,IN,1648412298
108,Kourou,5.1552,-52.6478,84.25400000000005,78,86,5.13,GF,1648412299
109,Iskateley,67.6803,53.1512,7.124000000000013,94,100,7.74,RU,1648412299
110,Pampa,35.5362,-100.9599,71.56400000000004,30,0,4.63,US,1648412220
111,Rzhishchëv,49.9689,31.0463,32.97200000000004,40,81,4.73,UA,1648412300
112,Qasigiannguit,68.8193,-51.1922,28.65200000000008,80,44,2.2,GL,1648412300
113,Vagay,57.9375,69.0217,10.976000000000091,95,94,3.24,RU,1648412300
114,Praia da Vitória,38.7333,-27.0667,61.754000000000055,94,40,4.54,PT,1648412301
115,Abhā,18.2164,42.5053,60.62000000000006,77,0,2.06,SA,1648412301
116,Arraial do Cabo,-22.9661,-42.0278,80.56400000000004,83,40,4.63,BR,1648412142
117,Bluff,-46.6,168.3333,52.98800000000004,90,15,1.78,NZ,1648412302
118,São José da Coroa Grande,-8.8978,-35.1478,79.86200000000005,83,100,3.88,BR,1648412302
119,Hamilton,39.1834,-84.5333,43.214000000000034,45,40,8.23,US,1648412302
120,Bengkulu,-3.8004,102.2655,75.16400000000003,90,67,2.82,ID,1648412303
121,Maceió,-9.6658,-35.7353,81.842,78,75,4.12,BR,1648412289
122,Haines Junction,60.7522,-137.5108,30.14600000000005,51,89,1.54,CA,1648412303
123,Tegul'det,57.3064,88.1667,0.35600000000003007,99,70,1.02,RU,1648412304
124,Severo-Kuril'sk,50.6789,156.125,32.05400000000005,90,72,7.81,RU,1648412304
125,Oksbøl,55.6268,8.2876,42.908,91,96,5.61,DK,1648412304
126,Bredasdorp,-34.5322,20.0403,64.92200000000004,83,54,0.95,ZA,1648412305
127,Portland,45.5234,-122.6762,67.1,71,100,2.06,US,1648412055
128,Arrondissement de Pithiviers,48.1667,2.25,57.812000000000054,61,0,2.25,FR,1648412305
